<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20251110,7.95,8.06,7.8,7.8,1472100
AAA,20251107,8.12,8.14,7.93,7.95,1041500
AAA,20251106,8.08,8.15,8.04,8.12,1203900
AAA,20251105,8.09,8.15,8.03,8.07,943700
AAA,20251104,8,8.3,7.79,8.12,3018700
AAA,20251103,8.15,8.19,8,8,2105000
AAA,20251031,8.23,8.31,8.15,8.15,1616900
AAA,20251030,8.12,8.3,8.08,8.23,3368300
AAA,20251029,7.75,8.08,7.75,8.04,2962000
AAA,20251028,7.59,7.65,7.51,7.61,1169000
AAA,20251027,7.65,7.75,7.59,7.59,794400
AAA,20251024,7.7,7.7,7.55,7.64,879600
AAA,20251023,7.67,7.79,7.67,7.69,927400
AAA,20251022,7.65,7.65,7.52,7.63,880100
AAA,20251021,7.44,7.67,7.39,7.55,3762900
AAA,20251020,7.92,8.02,7.39,7.39,3842100
AAA,20251017,8,8.04,7.94,7.94,1350800
AAA,20251016,8,8.04,7.94,7.98,1556600
AAA,20251015,7.99,8.07,7.94,7.95,2200000
AAA,20251014,8.14,8.18,7.99,7.99,2694200
AAA,20251013,8.12,8.2,8.1,8.12,2528900
AAA,20251010,8.23,8.28,8.15,8.22,1530500
AAA,20251009,8.2,8.3,8.19,8.22,979100
AAA,20251008,8.25,8.27,8.14,8.2,1265900
AAA,20251007,8.37,8.37,8.18,8.18,1468400
AAA,20251006,8.2,8.32,8.16,8.31,2154200
AAA,20251003,8.17,8.21,8.08,8.15,1722900
AAA,20251002,8.38,8.44,8.13,8.17,1838500
AAA,20251001,8.25,8.38,8.19,8.38,1208200
AAA,20250930,8.45,8.45,8.14,8.2,3446700
AAA,20250929,8.62,8.62,8.35,8.4,2455300
AAA,20250926,8.2,8.69,8.11,8.59,10328400
AAA,20250925,8.15,8.27,8.11,8.21,1661100
AAA,20250924,8.1,8.13,8.04,8.11,1161200
AAA,20250923,8.04,8.1,8.04,8.09,575900
AAA,20250922,8.13,8.18,8,8.03,2163300
AAA,20250919,8.18,8.21,8.12,8.13,1267000
AAA,20250918,8.3,8.31,8.17,8.18,2010700
AAA,20250917,8.27,8.43,8.23,8.27,2763600
AAA,20250916,8.38,8.4,8.22,8.22,2591400
AAA,20250915,8.18,8.35,8.15,8.35,3097100
AAA,20250912,8.04,8.14,8.01,8.12,1958600
AAA,20250911,8.06,8.1,7.9,7.98,2394500
AAA,20250910,8.08,8.12,8,8.06,1059400
AAA,20250909,8,8.12,7.93,8.01,2604300
AAA,20250908,8.16,8.25,7.99,8,3740800
AAA,20250905,8.35,8.49,8.16,8.16,4177700
AAA,20250904,8.26,8.39,8.25,8.3,2729900
AAA,20250903,8.16,8.26,8.14,8.22,2178600
AAA,20250829,8.16,8.2,8.11,8.12,1981100
AAA,20250828,8.11,8.18,8.1,8.17,1178500
AAA,20250827,8.09,8.19,8.06,8.08,2474100
AAA,20250826,7.9,8.01,7.89,8.01,1555700
AAA,20250825,8,8,7.85,7.91,2071200
AAA,20250822,8.02,8.02,7.8,7.87,4426800
AAA,20250821,8.29,8.29,8,8.05,4266300
AAA,20250820,8.52,8.52,8,8.2,5298100
AAA,20250819,8.47,8.64,8.41,8.5,3300500
AAA,20250818,8.45,8.52,8.36,8.45,3928100
AAA,20250815,8.8,8.83,8.4,8.42,7460800
AAA,20250814,8.85,8.93,8.73,8.76,5809800
AAA,20250813,8.6,8.75,8.5,8.75,5596200
AAA,20250812,8.71,8.73,8.5,8.54,5024200
AAA,20250811,8.8,8.8,8.61,8.68,3718200
AAA,20250808,8.55,8.82,8.53,8.61,5349700
AAA,20250807,8.55,8.65,8.48,8.54,3575600
AAA,20250806,8.43,8.54,8.4,8.45,2830500
AAA,20250805,8.6,8.66,8.15,8.38,8710500
AAA,20250804,8.55,8.69,8.4,8.6,3821600
AAA,20250801,8.9,8.9,8.45,8.51,5356600
AAA,20250731,8.7,8.92,8.64,8.8,12026000
AAA,20250730,7.8,8.34,7.79,8.34,8540800
AAA,20250729,8.28,8.35,7.8,7.8,7724700
AAA,20250728,8.17,8.3,8.16,8.21,4830200
AAA,20250725,8.25,8.3,8.12,8.14,4322400
AAA,20250724,8,8.4,8,8.24,6240400
AAA,20250723,7.77,7.89,7.74,7.89,5108600
AAA,20250722,7.68,7.73,7.62,7.68,2312700
AAA,20250721,7.76,7.84,7.68,7.68,3726500
AAA,20250718,7.87,7.9,7.74,7.76,3295400
AAA,20250717,7.65,7.84,7.65,7.77,4709400
AAA,20250716,7.62,7.72,7.55,7.63,2488100
AAA,20250715,7.6,7.74,7.59,7.62,3400200
AAA,20250714,7.59,7.62,7.4,7.56,2572500
AAA,20250711,7.74,7.77,7.56,7.57,3808200
AAA,20250710,7.56,7.74,7.52,7.7,5850400
AAA,20250709,7.44,7.54,7.4,7.47,3756600
AAA,20250708,7.35,7.48,7.34,7.39,4598500
AAA,20250707,7.24,7.33,7.22,7.28,3164600
AAA,20250704,7.23,7.27,7.19,7.21,1315100
AAA,20250703,7.28,7.28,7.18,7.2,1855800
AAA,20250702,7.17,7.25,7.17,7.23,2582300
AAA,20250701,7.22,7.26,7.15,7.15,1417500
AAA,20250630,7.18,7.34,7.18,7.25,1439000
AAA,20250627,7.16,7.21,7.15,7.17,1683300
AAA,20250626,7.2,7.2,7.13,7.16,897900
AAA,20250625,7.18,7.23,7.12,7.17,1348900
AAA,20250624,7.12,7.19,7.1,7.14,1312500
AAA,20250623,7.14,7.14,7.06,7.08,1759700
AAA,20250620,7.16,7.18,7.12,7.15,1246300
AAA,20250619,7.19,7.2,7.13,7.16,691600
AAA,20250618,7.24,7.27,7.18,7.2,993000
AAA,20250617,7.16,7.31,7.15,7.24,1777600
AAA,20250616,7.05,7.16,7.04,7.14,1051200
AAA,20250613,7.2,7.2,7,7.05,3290200
AAA,20250612,7.2,7.3,7.2,7.23,1121400
AAA,20250611,7.2,7.23,7.16,7.18,692900
AAA,20250610,7.21,7.28,7.17,7.17,1182900
AAA,20250609,7.35,7.36,7.2,7.2,2091800
AAA,20250606,7.42,7.53,7.35,7.35,2693700
AAA,20250605,7.34,7.47,7.34,7.39,2521900
AAA,20250604,7.32,7.45,7.31,7.34,2800300
AAA,20250603,7.47,7.47,7.31,7.31,1696200
AAA,20250602,7.2,7.3,7.15,7.3,1392700
AAA,20250530,7.35,7.35,7.2,7.21,1771200
AAA,20250529,7.3271,7.3271,7.183,7.2503,2235200
AAA,20250528,7.3463,7.4423,7.2503,7.2791,3091600
AAA,20250527,7.087,7.3463,7.087,7.2791,4274500
AAA,20250526,6.9134,7.0671,6.8654,7.0582,2060400
AAA,20250523,6.895,7.0006,6.895,6.9142,1205900
AAA,20250522,7.0095,7.0095,6.8462,6.8757,2089600
AAA,20250521,7.0486,7.0774,6.8661,6.9334,2418200
AAA,20250520,7.087,7.1062,7.0294,7.039,1060100
AAA,20250519,7.0006,7.135,6.9814,7.0294,2580200
AAA,20250516,7.0774,7.1254,7.0102,7.0294,2012000
AAA,20250515,7.1919,7.1919,7.0191,7.0582,1811400
AAA,20250514,6.9903,7.1727,6.9903,7.1062,3317200
AAA,20250513,6.9142,6.991,6.8854,6.943,2445400
AAA,20250512,6.8366,6.8846,6.8078,6.8469,1267300
AAA,20250509,6.8462,6.9711,6.8078,6.8181,2360700
AAA,20250508,6.8846,6.8846,6.7502,6.7989,1857000
AAA,20250507,6.8078,6.8174,6.7406,6.7701,1063900
AAA,20250506,6.7598,6.9038,6.7214,6.7989,2680400
AAA,20250505,6.7221,6.7317,6.6453,6.7029,1319200
AAA,20250429,6.7317,6.7413,6.6261,6.6933,1117600
AAA,20250428,6.7413,6.8854,6.7029,6.7029,1649900
AAA,20250425,6.6837,6.7701,6.6453,6.7125,1918200
AAA,20250424,6.6261,6.7605,6.5781,6.6549,1492800
AAA,20250423,6.4237,6.5774,6.4237,6.5588,1150600
AAA,20250422,6.5492,6.6645,6.1651,6.3092,3673400
AAA,20250421,6.7509,6.9046,6.6261,6.6261,1550900
AAA,20250418,6.4436,6.7605,6.4436,6.7221,2574000
AAA,20250417,6.4717,6.539,6.1453,6.4052,2890100
AAA,20250416,6.635,6.7118,6.539,6.5396,1314600
AAA,20250415,6.7317,6.7893,6.6357,6.6357,2116100
AAA,20250414,6.7598,6.8078,6.6734,6.7413,1948600
AAA,20250411,6.9615,6.9615,6.6062,6.7701,4809600
AAA,20250410,6.5781,6.5781,6.5781,6.5781,555000
AAA,20250409,6.1549,6.4333,6.1549,6.1555,6805400
AAA,20250408,6.6933,6.7221,6.6165,6.6165,4041200
AAA,20250404,7.1055,7.2015,7.1055,7.1062,4828500
AAA,20250403,7.9129,7.9801,7.6344,7.6344,4050100
AAA,20250402,8.249,8.2874,8.1914,8.201,1392600
AAA,20250401,8.1626,8.249,8.1626,8.1914,1333000
AAA,20250331,8.1041,8.2481,8.0849,8.1433,2016500
AAA,20250328,8.1041,8.1713,8.0849,8.0953,1494000
AAA,20250327,8.1329,8.1809,8.0849,8.0857,912400
AAA,20250326,8.2001,8.2001,8.1137,8.1241,800800
AAA,20250325,8.1521,8.2001,8.1041,8.1529,982500
AAA,20250324,8.0657,8.1521,8.0561,8.1241,1145300
AAA,20250321,8.2193,8.2193,8.1041,8.1145,1283200
AAA,20250320,8.2106,8.2586,8.1241,8.1626,1700900
AAA,20250319,8.2778,8.3162,8.1722,8.1914,1672300
AAA,20250318,8.393,8.393,8.2586,8.2586,1696800
AAA,20250317,8.2673,8.3345,8.2481,8.3258,1294200
AAA,20250314,8.3066,8.3354,8.2106,8.2394,2143500
AAA,20250313,8.3546,8.4506,8.2874,8.2874,2897500
AAA,20250312,8.5362,8.5554,8.4018,8.4218,1717100
AAA,20250311,8.3066,8.5275,8.2874,8.5275,3010700
AAA,20250310,8.4402,8.4978,8.3441,8.3642,1517200
AAA,20250307,8.3825,8.4498,8.3825,8.4122,2134900
AAA,20250306,8.3249,8.3729,8.2577,8.345,2201200
AAA,20250305,8.3642,8.441,8.3066,8.3162,1346800
AAA,20250304,8.5074,8.5074,8.2961,8.393,2767600
AAA,20250303,8.5563,8.5947,8.5083,8.5083,1392200
AAA,20250228,8.4891,8.5755,8.4891,8.5083,1720600
AAA,20250227,8.5755,8.5947,8.4506,8.4891,2787500
AAA,20250226,8.6619,8.7099,8.5467,8.5659,1550400
AAA,20250225,8.5947,8.806,8.5851,8.6427,3056600
AAA,20250224,8.5179,8.5947,8.4987,8.5755,1554100
AAA,20250221,8.5563,8.6619,8.5083,8.5179,2398100
AAA,20250220,8.5659,8.6715,8.5563,8.5659,2805600
AAA,20250219,8.5275,8.6235,8.5275,8.5659,2431700
AAA,20250218,8.393,8.5851,8.393,8.5083,2690900
AAA,20250217,8.3825,8.4306,8.3441,8.393,1607000
AAA,20250214,8.3537,8.4402,8.3345,8.3354,1803000
AAA,20250213,8.249,8.345,8.2202,8.2586,698600
AAA,20250212,8.1818,8.4506,8.1818,8.249,796400
AAA,20250211,8.1626,8.3546,8.1433,8.3162,1286100
AAA,20250210,8.3258,8.3258,8.1626,8.1626,1476700
AAA,20250207,8.3153,8.4018,8.3057,8.3258,1117500
AAA,20250206,8.3642,8.4314,8.2874,8.3162,849600
AAA,20250205,8.5074,8.5074,8.3441,8.3642,936100
AAA,20250204,8.0465,8.4498,8.0369,8.4506,2683300
AAA,20250124,8.0273,8.0465,7.9793,8.0281,764800
AAA,20250123,8.0369,8.0849,7.9217,8.0185,458300
AAA,20250122,8.0665,8.1145,7.9609,7.9897,1021500
AAA,20250121,8.1233,8.1425,8.0369,8.0569,833100
AAA,20250120,8.1329,8.2193,8.0945,8.1145,1032500
AAA,20250117,8.0657,8.1425,8.0465,8.1241,845300
AAA,20250116,7.9889,8.1521,7.9889,8.0665,680400
AAA,20250115,7.8937,8.0569,7.8937,7.9705,654700
AAA,20250114,7.9129,7.9801,7.9033,7.9033,436600
AAA,20250113,7.8841,7.9609,7.8745,7.9321,1124100
AAA,20250110,8.1049,8.1049,7.9513,7.9609,896300
AAA,20250109,8.1137,8.1617,8.0273,8.0761,789700
AAA,20250108,8.1233,8.1233,7.9697,8.1145,1135300
AAA,20250107,8.2481,8.3249,8.1041,8.1241,1621500
AAA,20250106,8.3642,8.393,8.2586,8.2586,1038800
AAA,20250103,8.3921,8.4978,8.3825,8.3834,1139400
AAA,20250102,8.3825,8.4402,8.3441,8.393,983400
AAA,20241231,8.3729,8.4786,8.3537,8.3738,973900
AAA,20241230,8.5458,8.5458,8.3537,8.3738,1785100
AAA,20241227,8.7387,8.7387,8.5467,8.5467,1562500
AAA,20241226,8.5266,8.8242,8.5074,8.6619,4070200
AAA,20241225,8.4987,8.5371,8.4794,8.4987,1402500
AAA,20241224,8.5083,8.6235,8.4794,8.4987,1425600
AAA,20241223,8.3258,8.5371,8.3258,8.5179,2454400
AAA,20241220,8.2193,8.3537,8.2193,8.3258,1583500
AAA,20241219,8.1626,8.3066,8.1241,8.2298,1052300
AAA,20241218,8.201,8.2586,8.1433,8.2394,1272600
AAA,20241217,8.2874,8.2874,8.1722,8.201,779200
AAA,20241216,8.3738,8.441,8.2586,8.2682,1206100
AAA,20241213,8.4594,8.4786,8.3633,8.3738,717400
AAA,20241212,8.4306,8.5938,8.4114,8.4794,1972800
AAA,20241211,8.4114,8.4786,8.3633,8.4026,834300
AAA,20241210,8.4018,8.5074,8.4018,8.4026,1075700
AAA,20241209,8.3921,8.4594,8.3921,8.4026,1255200
AAA,20241206,8.469,8.6226,8.3921,8.393,1798100
AAA,20241205,8.4498,8.469,8.3153,8.4602,1448300
AAA,20241204,8.2097,8.6418,8.1617,8.393,4840900
AAA,20241203,8.1626,8.2394,8.1337,8.2106,1244500
AAA,20241202,8.1626,8.2394,8.1337,8.1626,755300
AAA,20241129,8.1809,8.2097,8.1425,8.1433,1175000
AAA,20241128,8.1626,8.2586,8.1433,8.1722,707300
AAA,20241127,8.2298,8.249,8.1337,8.1626,908500
AAA,20241126,8.2586,8.3066,8.2202,8.2298,1120400
AAA,20241125,8.0185,8.249,8.0185,8.2298,1852300
AAA,20241122,8.0657,8.0849,8.0177,8.0281,874300
AAA,20241121,8.1041,8.1041,8.0177,8.0665,505900
AAA,20241120,7.912,8.0753,7.8832,8.0665,1615700
AAA,20241119,7.9705,8.0281,7.9225,7.9225,595500
AAA,20241118,7.836,7.9609,7.8264,7.9417,1388300
AAA,20241115,7.9601,7.9601,7.7584,7.836,2222700
AAA,20241114,8.1145,8.1529,7.9705,7.9705,1090600
AAA,20241113,8.0945,8.1521,7.9985,8.1529,1550800
AAA,20241112,8.2001,8.2577,8.1425,8.1433,1252400
AAA,20241111,8.1818,8.1914,8.0473,8.1626,1273700
AAA,20241108,8.2874,8.3066,8.1433,8.1722,1118800
AAA,20241107,8.345,8.3738,8.2586,8.2874,1176000
AAA,20241106,7.9801,8.3354,7.9801,8.2586,2993400
AAA,20241105,7.9225,8.0281,7.9225,7.9705,1161400
AAA,20241104,8.0665,8.0665,7.9321,7.9417,1948700
AAA,20241101,8.4498,8.469,8.0369,8.0665,4638900
AAA,20241031,8.5458,8.5458,8.4402,8.4506,2196000
AAA,20241030,8.7387,8.7387,8.5083,8.5467,1441700
AAA,20241029,8.4978,8.8242,8.4498,8.7291,3149800
AAA,20241028,8.5659,8.6331,8.5563,8.5755,690400
AAA,20241025,8.6715,8.7003,8.5467,8.5563,1681100
AAA,20241024,8.757,8.7858,8.6706,8.6715,1263200
AAA,20241023,8.8146,8.8434,8.7474,8.7579,1022000
AAA,20241022,8.8444,8.8732,8.7675,8.806,1345000
AAA,20241021,8.95,8.9692,8.8348,8.8348,1475100
AAA,20241018,8.9404,9.0556,8.9404,8.95,1094900
AAA,20241017,8.8636,8.998,8.8636,8.9308,1200400
AAA,20241016,8.9788,9.0268,8.8732,8.8732,1798300
AAA,20241015,9.1219,9.1315,8.9971,8.998,1598500
AAA,20241014,9.1891,9.2083,9.0547,9.0652,1512300
AAA,20241011,9.2189,9.2189,9.1229,9.1613,1036600
AAA,20241010,9.1997,9.2573,9.1613,9.1709,1639500
AAA,20241009,9.0652,9.1997,9.0556,9.1997,1802200
AAA,20241008,9.0259,9.0739,8.9971,9.0556,955700
AAA,20241007,9.1219,9.1411,9.0163,9.0268,1321600
AAA,20241004,9.1411,9.1603,9.0547,9.0556,1088800
AAA,20241003,9.3043,9.3043,9.0451,9.0748,4357900
AAA,20241002,9.3341,9.3437,9.2765,9.2765,2325900
AAA,20241001,9.3331,9.4388,9.3331,9.3629,2191600
AAA,20240930,9.3235,9.4004,9.3043,9.3053,3104600
AAA,20240927,9.4772,9.4964,9.3427,9.3629,4645900
AAA,20240926,9.651,9.699,9.4686,9.4782,4507000
AAA,20240925,9.65,9.794,9.602,9.651,1948300
AAA,20240924,9.4686,9.699,9.4109,9.603,3705200
AAA,20240923,9.5454,9.5838,9.4494,9.4686,1115500
AAA,20240920,9.4782,9.651,9.459,9.5358,3113000
AAA,20240919,9.4484,9.4868,9.41,9.4205,1243800
AAA,20240918,9.4484,9.4964,9.41,9.4109,2070000
AAA,20240917,9.3821,9.459,9.3725,9.459,1122000
AAA,20240916,9.3917,9.5646,9.3917,9.459,2028300
AAA,20240913,9.3331,9.41,9.2947,9.3821,1435600
AAA,20240912,9.41,9.41,9.2755,9.2957,1681700
AAA,20240911,9.3341,9.3341,9.1997,9.2189,3108400
AAA,20240910,9.41,9.458,9.3235,9.3341,2438300
AAA,20240909,9.3139,9.4964,9.3139,9.4109,3423700
AAA,20240906,9.699,9.747,9.459,9.507,7338600
AAA,20240905,9.698,9.9381,9.698,9.699,3063500
AAA,20240904,9.65,9.746,9.5732,9.699,3333000
AAA,20240830,9.746,9.794,9.65,9.699,1967900
AAA,20240829,9.794,9.794,9.65,9.651,2373600
AAA,20240828,9.8421,9.8421,9.698,9.747,2466600
AAA,20240827,9.7951,9.8911,9.699,9.7951,3403400
AAA,20240826,9.8911,9.9391,9.603,9.603,12219400
AAA,20240823,10.1301,10.1781,9.746,9.9391,14593600
AAA,20240822,10.3232,10.3712,10.1312,10.2272,3877100
AAA,20240821,10.2741,10.3702,10.1781,10.3232,3864500
AAA,20240820,10.2261,10.4182,10.1781,10.3712,5622200
AAA,20240819,10.2272,10.3712,10.1792,10.2272,3677600
AAA,20240816,9.8431,10.2272,9.8431,10.1792,4917000
AAA,20240815,9.9861,10.0341,9.65,9.747,4295100
AAA,20240814,10.1781,10.1781,9.9861,9.9871,3149400
AAA,20240813,10.0832,10.1792,9.9871,10.0832,3049900
AAA,20240812,9.9861,10.0821,9.8901,10.0351,4558000
AAA,20240809,10.0821,10.1781,9.8901,9.9391,6630600
AAA,20240808,10.3232,10.3232,9.8911,9.8911,11608500
AAA,20240807,10.4182,10.4662,10.0821,10.3712,8287700
AAA,20240806,10.2752,10.4673,10.1312,10.4193,4066400
AAA,20240805,10.5633,10.7073,10.1312,10.1312,9415600
AAA,20240802,10.6593,10.9474,10.6113,10.8514,4444500
AAA,20240801,11.1875,11.2835,10.6593,10.7554,9501500
AAA,20240731,11.6196,11.6196,11.1875,11.1875,8013700
AAA,20240730,11.5236,11.8117,11.4276,11.5236,16476600
AAA,20240729,11.3304,11.3784,11.1863,11.2355,2255700
AAA,20240726,10.9943,11.2343,10.9943,11.2355,2441900
AAA,20240725,10.9943,11.1383,10.8023,10.9954,4346200
AAA,20240724,10.8994,11.2355,10.7073,11.1875,4276000
AAA,20240723,11.1863,11.5224,10.8503,10.9474,4708100
AAA,20240722,11.2824,11.3304,10.8023,11.2355,6214100
AAA,20240719,11.5704,11.5704,11.1863,11.2355,4318100
AAA,20240718,11.2343,11.5704,11.1863,11.5716,6755000
AAA,20240717,11.8585,11.8585,10.8983,11.2355,9067900
AAA,20240716,12.0038,12.0998,11.6676,11.7157,6840800
AAA,20240715,11.7144,12.0985,11.4744,11.9077,9416100
AAA,20240712,11.6664,11.8585,11.4744,11.6196,6674600
AAA,20240711,11.3304,11.6184,11.2824,11.5716,11919900
AAA,20240710,11.3784,11.4264,11.2343,11.2355,3597000
AAA,20240709,11.3304,11.6184,11.2343,11.3315,8335000
AAA,20240708,11.3304,11.3784,11.0903,11.2835,4081400
AAA,20240705,10.9474,11.4276,10.9474,11.1875,11375600
AAA,20240704,11.0423,11.1383,10.8503,10.9474,2116600
AAA,20240703,10.9474,11.0915,10.8514,11.0435,3246700
AAA,20240702,10.7554,11.0435,10.7073,10.8514,3734100
AAA,20240701,10.6113,10.8034,10.5633,10.7554,2053100
AAA,20240628,10.9943,11.0423,10.4182,10.6113,7799000
AAA,20240627,11.0903,11.2824,10.8983,10.9474,3712600
AAA,20240626,11.0435,11.4756,10.9474,11.0435,16711200
AAA,20240625,10.7554,11.0915,10.7073,11.0435,3947100
AAA,20240624,11.1875,11.1875,10.6593,10.7554,4235500
AAA,20240621,10.8034,11.1875,10.7554,11.0435,6333300
AAA,20240620,10.8034,10.8994,10.6113,10.8034,3367200
AAA,20240619,10.8034,10.8034,10.6593,10.8034,2028400
AAA,20240618,10.7062,10.8983,10.6582,10.7073,2821100
AAA,20240617,10.6582,10.7542,10.5622,10.6113,5204500
AAA,20240614,10.9463,10.9943,10.6582,10.6593,7863700
AAA,20240613,11.1863,11.1863,10.8503,10.9474,3240300
AAA,20240612,10.8514,11.0915,10.8514,11.0435,4012500
AAA,20240611,11.1875,11.2355,10.7554,10.8034,10707700
AAA,20240610,11.4276,11.4756,11.0915,11.1875,8473100
AAA,20240607,11.6196,11.6196,11.3315,11.3796,3872700
AAA,20240606,11.3796,11.6676,11.2835,11.4756,6828000
AAA,20240605,11.6664,11.6664,11.2824,11.2835,7209300
AAA,20240604,11.4756,11.8597,11.4756,11.5236,5506400
AAA,20240603,11.5236,11.6196,11.3796,11.4276,5472300
AAA,20240531,11.7157,11.8597,11.3315,11.3796,6617100
AAA,20240530,11.7144,11.8585,11.3784,11.6676,6672600
AAA,20240529,11.1875,11.9557,11.0915,11.7637,20850500
AAA,20240528,10.8034,11.3315,10.7554,11.1875,10103100
AAA,20240527,10.7073,10.8034,10.5633,10.7554,2080400
AAA,20240524,10.9474,11.2835,10.3712,10.5633,13309100
AAA,20240523,10.8503,11.0423,10.7542,10.9954,3635000
AAA,20240522,11.1875,11.2355,10.8514,10.8514,4689800
AAA,20240521,10.9954,11.2835,10.7554,11.0915,7565800
AAA,20240520,11.3304,11.3304,10.9463,10.9954,4743600
AAA,20240517,10.7073,11.1395,10.5633,11.0435,10322000
AAA,20240516,10.8503,10.8503,10.5622,10.6593,4218100
AAA,20240515,10.6102,10.8503,10.6102,10.6593,2765500
AAA,20240514,10.8023,10.8023,10.6102,10.6593,2466900
AAA,20240513,10.6102,10.9463,10.6102,10.7073,5854700
AAA,20240510,10.2752,10.6593,10.2752,10.4673,5650900
AAA,20240509,10.3712,10.4193,10.1312,10.2272,1690500
AAA,20240508,10.1781,10.3222,10.0341,10.2752,1821900
AAA,20240507,10.0832,10.4193,10.0351,10.2272,4827100
AAA,20240506,9.747,10.0832,9.651,10.0832,2895200
AAA,20240503,9.698,9.8421,9.602,9.651,1385100
AAA,20240502,9.8421,9.8421,9.5828,9.699,1999600
AAA,20240426,9.2947,9.4676,9.2371,9.3917,2101800
AAA,20240425,9.3908,9.41,9.2947,9.3341,1188500
AAA,20240424,9.2083,9.4388,9.1699,9.4013,2035800
AAA,20240423,9.2755,9.2851,9.0259,9.1036,1822100
AAA,20240422,9.2477,9.3341,9.0172,9.2765,1697400
AAA,20240419,9.2189,9.4013,9.1229,9.1229,2803000
AAA,20240417,9.555,9.7951,9.4301,9.507,2107900
AAA,20240416,9.651,9.7951,9.1229,9.507,4631200
AAA,20240415,10.2741,10.3222,9.65,9.651,5509000
AAA,20240412,10.3702,10.4662,10.2261,10.3712,3471800
AAA,20240411,10.4662,10.5142,10.3222,10.3232,4772500
AAA,20240410,10.6113,10.7554,10.5633,10.5633,2219700
AAA,20240409,10.5633,10.6113,10.4673,10.5633,2775600
AAA,20240408,10.8034,10.8514,10.5633,10.5633,3048300
AAA,20240405,10.6593,11.0435,10.5153,10.8034,6864600
AAA,20240404,10.8983,10.9463,10.6102,10.6593,3664400
AAA,20240403,10.7554,11.1395,10.7073,10.8514,8540900
AAA,20240402,10.6593,10.7554,10.5153,10.7554,2991100
AAA,20240401,10.7542,10.8503,10.6102,10.7073,2368700
AAA,20240329,10.6113,10.9954,10.5633,10.7554,5759900
AAA,20240328,10.6582,10.6582,10.5142,10.6113,2343400
AAA,20240327,10.6593,10.7073,10.5153,10.5633,2086700
AAA,20240326,10.3232,10.6113,10.2752,10.5633,2891800
AAA,20240325,10.4662,10.6102,10.2741,10.3232,2801000
AAA,20240322,10.7554,10.7554,10.4193,10.4673,2942400
AAA,20240321,10.3222,10.7062,10.3222,10.6113,6737200
AAA,20240320,10.1792,10.2752,10.1312,10.2272,1940000
AAA,20240319,10.1312,10.3232,9.9871,10.1792,2299700
AAA,20240318,10.3702,10.4662,9.8421,10.0351,5276800
AAA,20240315,10.2741,10.4182,10.2261,10.2752,2328300
AAA,20240314,10.5622,10.5622,10.3222,10.3232,3446800
AAA,20240313,10.2752,10.4673,10.2752,10.4673,2426900
AAA,20240312,10.0821,10.3702,10.0341,10.2752,3174200
AAA,20240311,10.4193,10.5633,10.0832,10.0832,3310800
AAA,20240308,10.7554,10.7554,10.4673,10.4673,4758300
AAA,20240307,10.7542,10.7542,10.6102,10.7073,2582700
AAA,20240306,10.8503,10.8503,10.6582,10.6593,1572700
AAA,20240305,10.7073,11.0435,10.6593,10.8034,5499900
AAA,20240304,10.8503,10.8983,10.6582,10.7073,3695800
AAA,20240301,10.9474,10.9474,10.6593,10.8034,3427700
AAA,20240229,10.8034,10.8514,10.5153,10.8514,5638700
AAA,20240228,10.8034,10.9474,10.6593,10.7554,4032300
AAA,20240227,10.8514,10.8514,10.7073,10.8034,3686600
AAA,20240226,10.3712,10.8514,10.2752,10.8034,6508300
AAA,20240223,10.7062,10.8023,10.2741,10.3712,6690300
AAA,20240222,10.9463,10.9463,10.6582,10.6593,3574700
AAA,20240221,10.5153,10.9474,10.4193,10.8514,9799900
AAA,20240220,10.4193,10.5153,10.3232,10.4673,3651800
AAA,20240219,10.4673,10.5153,10.3232,10.4193,5717300
AAA,20240216,10.4673,10.5633,10.3712,10.4673,4359800
AAA,20240215,10.4193,10.6593,10.3712,10.4193,5038100
AAA,20240207,10.2741,10.3702,10.2261,10.2752,2263000
AAA,20240206,10.2272,10.4193,10.1312,10.2272,2563200
AAA,20240205,10.1792,10.5153,10.1312,10.2272,4235500
AAA,20240202,10.3712,10.4193,10.1792,10.1792,3614600
AAA,20240201,9.746,10.3702,9.698,10.3712,8434900
AAA,20240131,9.9861,10.0341,9.602,9.699,5135200
AAA,20240130,9.9381,10.0821,9.8421,9.9391,4403700
AAA,20240129,9.746,10.0341,9.698,9.9871,8131400
AAA,20240126,9.698,9.794,9.602,9.699,3892800
AAA,20240125,9.2467,9.8421,9.2467,9.699,10056800
AAA,20240124,9.2285,9.2669,9.2093,9.2381,1710100
AAA,20240123,9.2669,9.2765,9.1997,9.2285,1523500
AAA,20240122,9.1517,9.2381,9.1325,9.2285,2205400
AAA,20240119,9.1891,9.1891,9.1027,9.1036,1902700
AAA,20240118,9.1517,9.1901,9.0748,9.1229,1326200
AAA,20240117,9.2189,9.2285,9.1325,9.1325,1551500
AAA,20240116,9.0364,9.1229,9.0076,9.1229,1117000
AAA,20240115,9.1603,9.2467,9.0259,9.0268,2659500
AAA,20240112,9.2957,9.3437,9.1132,9.1229,4287800
AAA,20240111,9.3427,9.4868,9.3043,9.3533,2880100
AAA,20240110,9.2851,9.41,9.2755,9.2957,3360200
AAA,20240109,9.3812,9.4292,9.2755,9.2861,3021100
