<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAM,20230329,10.6735,11.1908,10.6735,11.1908,1600
AAM,20230328,11.0497,11.2848,10.9086,11.1908,5600
AAM,20230327,11.0485,11.0955,10.9075,10.9086,7200
AAM,20230324,10.8135,11.1426,10.5784,10.9086,12400
AAM,20230323,10.2963,11.0015,10.2963,10.4384,10200
AAM,20230322,10.1563,10.4384,10.1563,10.2974,4500
AAM,20230321,10.2033,10.6265,10.2033,10.3444,2000
AAM,20230320,10.2493,10.2493,10.2023,10.2033,500
AAM,20230317,10.2023,10.4373,9.6851,10.1563,9800
AAM,20230316,10.4843,10.4843,10.1552,10.1563,6300
AAM,20230315,10.4855,10.8146,10.2974,10.4855,2700
AAM,20230314,10.2974,10.5325,10.2033,10.5325,1600
AAM,20230313,10.4855,10.5325,10.2504,10.5325,2800
AAM,20230310,10.4855,10.5325,10.3444,10.5325,1200
AAM,20230309,10.4384,10.5325,10.2504,10.4855,15700
AAM,20230308,10.1552,10.4373,10.1082,10.4384,2400
AAM,20230307,10.3444,10.5325,10.2974,10.5325,400
AAM,20230306,10.1563,10.6265,10.1563,10.5795,6100
AAM,20230303,10.3444,10.6265,10.2033,10.5325,7000
AAM,20230302,10.6735,10.8146,10.4384,10.5795,1700
AAM,20230301,10.6724,10.6724,10.3433,10.4384,15900
AAM,20230228,10.3444,10.7676,10.3444,10.4855,9200
AAM,20230227,10.8135,10.8605,10.8135,10.8616,200
AAM,20230224,10.5314,11.2366,10.5314,10.8616,1700
AAM,20230223,10.8605,10.8605,10.8605,10.8616,1900
AAM,20230222,11.0027,11.0027,10.8146,10.9557,600
AAM,20230221,11.661,11.661,10.6735,11.1908,5400
AAM,20230220,10.5314,11.0955,10.5314,10.9086,4500
AAM,20230217,10.5784,10.9075,10.1552,10.9086,1100
AAM,20230216,10.4855,10.7676,10.4855,10.5795,600
AAM,20230215,10.6265,11.0497,10.6265,11.0497,3300
AAM,20230214,11.0027,11.1437,10.5795,10.5795,1100
AAM,20230213,10.3914,10.9086,10.1563,10.5325,2900
AAM,20230210,10.9075,11.0955,10.7194,10.8616,7800
AAM,20230209,11.1426,11.1426,10.6724,10.9086,4300
AAM,20230208,10.5325,11.1437,10.3444,10.5325,19400
AAM,20230207,10.5325,10.5325,10.3914,10.5325,1300
AAM,20230206,10.7676,10.8616,10.5325,10.5325,1800
AAM,20230203,10.7676,10.7676,10.7676,10.7676,1000
AAM,20230202,10.4384,11.0027,10.2033,10.7206,11200
AAM,20230201,10.8605,10.8605,10.6724,10.6735,4500
AAM,20230131,10.5314,10.7664,10.5314,10.6735,15500
AAM,20230130,10.7676,10.8146,10.4855,10.5325,16000
AAM,20230127,10.7676,10.7676,10.6265,10.7676,1300
AAM,20230119,10.8616,10.8616,10.7676,10.7676,2000
AAM,20230118,10.9086,11.2378,10.5795,10.7206,23100
AAM,20230117,11.1908,11.1908,10.5325,11.0027,2400
AAM,20230116,10.4855,10.6265,10.4384,10.5325,20500
AAM,20230113,11.1426,11.1426,11.0015,11.0967,1100
AAM,20230112,10.8146,10.8146,10.4384,10.8146,9000
AAM,20230111,10.3914,10.8146,10.3914,10.8146,2800
AAM,20230110,10.4384,11.1908,10.4384,10.8146,1000
AAM,20230109,11.2848,11.2848,10.9086,10.9557,400
AAM,20230106,11.0027,11.1437,10.9557,10.9557,600
AAM,20230105,10.4384,11.1908,10.4384,11.1908,2300
AAM,20230104,10.6724,11.0015,10.6724,10.9086,3900
AAM,20230103,11.2848,11.2848,11.0027,11.1908,3600
AAM,20221230,11.1908,11.1908,10.7676,10.7676,5300
AAM,20221229,11.1426,11.1426,11.1426,11.1437,300
AAM,20221228,10.9545,11.0955,10.8135,11.0967,5300
AAM,20221227,11.1437,11.1437,10.9086,10.9557,700
AAM,20221226,10.7206,11.0497,10.7206,10.8146,1300
